TimeStamp (ms), Device type, Position x, Position y, Position z, Rotation w, Rotation x, Rotation y, Rotation z, Primary value, Nib value, Grip value, Touchpad X value, Touchpad Y value, Button AX, Button BY
4.238466, Hmd, 0.05352861, 1.133009, -0.02498966, 0.9409574, 0.2114499, 0.2636869, 0.01890775, 0, 0, 0, 0, 0, 0, 0
4.238466, Primary, 0.2800285, 0.9474066, 0.2376273, 0.9917565, 0.004247017, 0.02931574, 0.1246661, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.238466, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414322, -0.1833714, -0.4020621, 0, 0, 0, 0, 0, 0, 0
4.252317, Hmd, 0.0539839, 1.132893, -0.02475187, 0.9407289, 0.2125876, 0.2635911, 0.01885221, 0, 0, 0, 0, 0, 0, 0
4.252317, Primary, 0.2819133, 0.9480804, 0.2375142, 0.9915205, 0.004494828, 0.03143683, 0.1260112, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.252317, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.863963, 0.2414319, -0.1833712, -0.4020614, 0, 0, 0, 0, 0, 0, 0
4.266506, Hmd, 0.05450496, 1.132891, -0.02457839, 0.9406884, 0.2127275, 0.2636103, 0.01901812, 0, 0, 0, 0, 0, 0, 0
4.266506, Primary, 0.2835949, 0.9488795, 0.2373213, 0.9908516, 0.002394, 0.03389442, 0.1306089, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.266506, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639626, 0.2414321, -0.1833717, -0.4020619, 0, 0, 0, 0, 0, 0, 0
4.280371, Hmd, 0.0550071, 1.132891, -0.02433279, 0.9405681, 0.2129565, 0.2638494, 0.01909515, 0, 0, 0, 0, 0, 0, 0
4.280371, Primary, 0.2849545, 0.9493079, 0.2370614, 0.9908953, 0.002105372, 0.03456931, 0.1301037, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.280371, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639626, 0.2414321, -0.1833717, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.294001, Hmd, 0.05526099, 1.132929, -0.02426776, 0.9405723, 0.2127915, 0.2639821, 0.01890022, 0, 0, 0, 0, 0, 0, 0
4.294001, Primary, 0.2862454, 0.9495463, 0.2368204, 0.9908046, 0.002353486, 0.03551035, 0.1305363, 0, 0, 0, -0.00779736, -0.001846313, 0, 0
4.294001, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639623, 0.2414327, -0.1833721, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.308248, Hmd, 0.0556545, 1.132867, -0.02404644, 0.9404718, 0.2130497, 0.2640913, 0.01945302, 0, 0, 0, 0, 0, 0, 0
4.308248, Primary, 0.2873191, 0.949567, 0.2365289, 0.990446, 0.00245223, 0.0366078, 0.1329307, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.308248, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414321, -0.1833717, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.321905, Hmd, 0.05576658, 1.132738, -0.02395281, 0.9404917, 0.2130512, 0.2640021, 0.01968288, 0, 0, 0, 0, 0, 0, 0
4.321905, Primary, 0.2881244, 0.9496539, 0.2361049, 0.9903282, 0.00185721, 0.03728478, 0.1336285, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.321905, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414322, -0.1833714, -0.4020621, 0, 0, 0, 0, 0, 0, 0
4.335935, Hmd, 0.05604854, 1.132601, -0.02385633, 0.9405606, 0.2132472, 0.2636073, 0.01956082, 0, 0, 0, 0, 0, 0, 0
4.335935, Primary, 0.2887852, 0.9497973, 0.2357042, 0.9901893, 0.0007813572, 0.03806387, 0.1344463, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.335935, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414319, -0.1833716, -0.4020623, 0, 0, 0, 0, 0, 0, 0
4.34997, Hmd, 0.05642799, 1.132557, -0.02366225, 0.9406687, 0.2135399, 0.2630127, 0.01916713, 0, 0, 0, 0, 0, 0, 0
4.34997, Primary, 0.2894636, 0.9499937, 0.2352905, 0.9902045, -0.0002948045, 0.0387744, 0.1341323, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.34997, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639623, 0.2414328, -0.1833722, -0.4020622, 0, 0, 0, 0, 0, 0, 0
4.363766, Hmd, 0.05672911, 1.132438, -0.023662, 0.940767, 0.213658, 0.2625945, 0.01876085, 0, 0, 0, 0, 0, 0, 0
4.363766, Primary, 0.2899455, 0.9499197, 0.2348496, 0.9903612, -0.0007114298, 0.03892661, 0.1329244, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.363766, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639625, 0.2414322, -0.1833714, -0.4020621, 0, 0, 0, 0, 0, 0, 0
4.377983, Hmd, 0.05711302, 1.132422, -0.023561, 0.9408615, 0.2134008, 0.2624826, 0.0185091, 0, 0, 0, 0, 0, 0, 0
4.377983, Primary, 0.2905325, 0.9497106, 0.2345154, 0.9904524, -0.0006904899, 0.03945881, 0.1320854, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
4.377983, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414323, -0.1833707, -0.4020624, 0, 0, 0, 0, 0, 0, 0
